iter	Passed	Remaining
0	144	144209
1	146	73109
2	148	49313
3	149	37279
4	150	30021
5	152	25209
6	153	21777
7	155	19285
8	156	17285
9	158	15651
10	160	14389
11	161	13299
12	162	12366
13	164	11561
14	165	10869
15	166	10265
16	168	9741
17	169	9265
18	171	8835
19	172	8474
20	174	8135
21	176	7828
22	177	7542
23	179	7285
24	180	7038
25	182	6824
26	183	6623
27	185	6424
28	187	6272
29	188	6109
30	190	5956
31	192	5813
32	193	5675
33	195	5548
34	197	5439
35	199	5329
36	200	5221
37	202	5114
38	203	5021
39	205	4925
40	206	4834
41	208	4752
42	210	4678
43	211	4595
44	212	4520
45	214	4444
46	216	4382
47	217	4318
48	219	4254
49	220	4191
50	222	4138
51	224	4087
52	225	4033
53	227	3978
54	228	3925
55	229	3876
56	232	3847
57	233	3797
58	235	3752
59	237	3713
60	238	3674
61	240	3631
62	241	3590
63	242	3551
64	244	3524
65	246	3485
66	247	3447
67	249	3417
68	251	3386
69	252	3354
70	254	3324
71	255	3292
72	257	3264
73	258	3238
74	260	3210
75	261	3180
76	263	3155
77	264	3131
78	266	3106
79	267	3078
80	269	3055
81	271	3034
82	271	3003
83	273	2977
84	274	2952
85	275	2926
86	277	2907
87	278	2889
88	286	2936
89	289	2930
90	291	2911
91	294	2903
92	295	2884
93	297	2864
94	299	2849
95	300	2829
96	302	2812
97	303	2796
98	305	2779
99	307	2767
100	309	2753
101	311	2738
102	314	2736
103	315	2719
104	317	2703
105	318	2685
106	320	2670
107	321	2656
108	323	2640
109	324	2624
110	326	2613
111	327	2599
112	329	2586
113	330	2571
114	332	2556
115	333	2541
116	334	2527
117	336	2515
118	337	2501
119	340	2494
120	341	2482
121	342	2467
122	344	2454
123	345	2439
124	346	2426
125	347	2413
126	349	2402
127	351	2392
128	352	2382
129	354	2373
130	356	2364
131	358	2354
132	359	2344
133	361	2334
134	363	2327
135	366	2326
136	368	2321
137	370	2312
138	371	2303
139	373	2293
140	375	2285
141	376	2273
142	378	2267
143	380	2259
144	381	2249
145	382	2239
146	384	2230
147	385	2222
148	387	2212
149	388	2203
150	390	2195
151	392	2192
152	394	2183
153	395	2172
154	396	2162
155	397	2153
156	399	2145
157	400	2135
158	401	2125
159	403	2116
160	404	2105
161	406	2102
162	408	2096
163	409	2086
164	410	2078
165	412	2073
166	413	2064
167	415	2056
168	416	2047
169	417	2039
170	419	2032
171	421	2026
172	422	2019
173	423	2012
174	425	2007
175	427	2001
176	428	1994
177	430	1986
178	431	1980
179	433	1975
180	435	1971
181	437	1965
182	438	1958
183	440	1952
184	441	1946
185	443	1938
186	444	1931
187	445	1924
188	447	1921
189	449	1916
190	451	1910
191	452	1903
192	453	1897
193	455	1891
194	457	1887
195	458	1882
196	460	1876
197	462	1872
198	463	1867
199	465	1863
200	467	1858
201	468	1852
202	470	1846
203	472	1841
204	473	1836
205	475	1832
206	477	1830
207	479	1825
208	480	1819
209	482	1814
210	483	1809
211	486	1806
212	488	1803
213	489	1799
214	491	1796
215	494	1793
216	495	1788
217	497	1783
218	499	1779
219	502	1782
220	507	1788
221	509	1786
222	511	1782
223	513	1779
224	515	1776
225	517	1773
226	521	1774
227	523	1772
228	525	1769
229	527	1765
230	529	1762
231	530	1757
232	532	1752
233	534	1749
234	536	1746
235	538	1742
236	539	1737
237	541	1732
238	542	1728
239	544	1723
240	545	1719
241	548	1719
242	550	1714
243	552	1711
244	554	1708
245	556	1706
246	558	1702
247	559	1697
248	561	1693
249	563	1690
250	565	1686
251	566	1681
252	568	1678
253	570	1674
254	571	1671
255	573	1666
256	574	1661
257	577	1660
258	579	1657
259	581	1653
260	582	1649
261	583	1644
262	585	1640
263	586	1636
264	588	1631
265	589	1627
266	591	1623
267	593	1620
268	594	1616
